at,b,se,model,var
-6,.0033766937,.0077911578,baseline_dynamic,exp_ln_mw
-5,-.0090277847,.010387868,baseline_dynamic,exp_ln_mw
-4,-.0063726539,.0096211415,baseline_dynamic,exp_ln_mw
-3,.0024519379,.0090112658,baseline_dynamic,exp_ln_mw
-2,.0028772447,.010663271,baseline_dynamic,exp_ln_mw
-1,-.0018554947,.016710633,baseline_dynamic,exp_ln_mw
0,.075707555,.031228675,baseline_dynamic,exp_ln_mw
1,-.0029316379,.014772153,baseline_dynamic,exp_ln_mw
2,-.0022430078,.012428553,baseline_dynamic,exp_ln_mw
3,.003952866,.0080739493,baseline_dynamic,exp_ln_mw
4,.0095547875,.011520512,baseline_dynamic,exp_ln_mw
5,-.0034896638,.0071178265,baseline_dynamic,exp_ln_mw
6,-.0055707674,.0079314355,baseline_dynamic,exp_ln_mw
0,-.039128177,.018016975,baseline_dynamic,ln_mw
0,.036579382,.018047525,baseline_dynamic,cumsum_from0
1,.031008612,.02229815,baseline_dynamic,cumsum_from0
2,.025437845,.02818718,baseline_dynamic,cumsum_from0
3,.019867077,.034894731,baseline_dynamic,cumsum_from0
4,.014296311,.042030733,baseline_dynamic,cumsum_from0
5,.0087255435,.0494099,baseline_dynamic,cumsum_from0
6,.0031547758,.056937769,baseline_dynamic,cumsum_from0
