at,b,se,model,var
-6,.0026649144,.0068630893,ln_mw_dynamic,ln_mw
-5,-.0079364572,.0093167434,ln_mw_dynamic,ln_mw
-4,-.0070299893,.0081868367,ln_mw_dynamic,ln_mw
-3,.0031764591,.008907876,ln_mw_dynamic,ln_mw
-2,.0041031041,.0094931461,ln_mw_dynamic,ln_mw
-1,-.0016709892,.014114064,ln_mw_dynamic,ln_mw
0,-.038569354,.018202517,ln_mw_dynamic,ln_mw
1,-.0035633363,.013197421,ln_mw_dynamic,ln_mw
2,-.0016610934,.010332162,ln_mw_dynamic,ln_mw
3,.0021378011,.0069110752,ln_mw_dynamic,ln_mw
4,.0083314581,.010471365,ln_mw_dynamic,ln_mw
5,-.003587754,.0066898931,ln_mw_dynamic,ln_mw
6,-.0039736605,.0081007052,ln_mw_dynamic,ln_mw
0,.075176448,.030697158,ln_mw_dynamic,exp_ln_mw
0,.036607094,.018017419,ln_mw_dynamic,cumsum_from0
1,.032633431,.021781147,ln_mw_dynamic,cumsum_from0
2,.028659772,.02748549,ln_mw_dynamic,cumsum_from0
3,.024686111,.034172047,ln_mw_dynamic,cumsum_from0
4,.02071245,.041367237,ln_mw_dynamic,cumsum_from0
5,.016738791,.048846807,ln_mw_dynamic,cumsum_from0
6,.01276513,.056497928,ln_mw_dynamic,cumsum_from0
