model,var,at,b,se,N,r2,p_pretrend
baseline_dynamic,cumsum_from0,-1,0,0,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,0,.036579382,.015324581,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,1,.033647742,.024956547,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,2,.031404734,.035659015,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,3,.035357602,.040464859,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,4,.044912387,.043894116,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,5,.041422725,.046093814,123105,.021274911,.88609171
baseline_dynamic,cumsum_from0,6,.035851955,.047599114,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-6,.0033766937,.0082514994,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-5,-.0090277847,.0093866736,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-4,-.0063726539,.010213733,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-3,.0024519379,.0062960358,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-2,.0028772447,.012853375,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,-1,-.0018554947,.015520317,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,0,.075707555,.027321083,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,1,-.0029316379,.014084825,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,2,-.0022430078,.014643274,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,3,.003952866,.0075013726,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,4,.0095547875,.0085293241,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,5,-.0034896638,.0062816367,123105,.021274911,.88609171
baseline_dynamic,exp_ln_mw,6,-.0055707674,.0078838365,123105,.021274911,.88609171
baseline_dynamic,ln_mw,0,-.039128177,.016650638,123105,.021274911,.88609171
