model,var,at,b,se,N,r2,p_equality,p_pretrend
both_mw_wkp_dynamic,mw_wkp_tot_17,-6,.00087822299,.0089888126,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,-5,-.0081866495,.0097190309,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,-4,-.0076856497,.010471798,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,-3,.0039459113,.00619087,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,-2,.0016241883,.013478119,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,-1,-.0042614085,.015798161,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,0,.06705188,.02715325,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,1,-.0033322505,.012996434,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,2,-.0024375198,.014605483,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,3,.0018840954,.0077903923,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,4,.010018773,.0084377704,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,5,-.0028262306,.0059140278,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_wkp_tot_17,6,-.0019083545,.0071581141,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,mw_res,0,-.029470121,.017478041,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,-1,0,0,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,0,.037581764,.015126709,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,1,.034249511,.023752341,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,2,.031811994,.034798916,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,3,.033696089,.039819926,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,4,.043714862,.043358829,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,5,.04088863,.044293907,116078,.022159589,.030714007,.91560501
both_mw_wkp_dynamic,cumsum_from0,6,.038980275,.045668155,116078,.022159589,.030714007,.91560501
both_mw_res_dynamic,mw_wkp_tot_17,0,.066885166,.026944133,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-6,-.00039332497,.0081533911,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-5,-.0066885669,.0082747871,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-4,-.0086514913,.0097647449,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-3,.0043573366,.0072150724,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-2,.0035473441,.012075566,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,-1,-.0032482457,.013454342,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,0,-.029358016,.018357877,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,1,-.0043008965,.011799197,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,2,-.0025370715,.012711225,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,3,.00084033248,.0068596709,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,4,.0097604105,.0079856124,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,5,-.002317352,.0057239542,116078,.022167571,,.84469241
both_mw_res_dynamic,mw_res,6,-.0014768403,.0082271369,116078,.022167571,,.84469241
