model,var,at,b,se,N,r2,p_pretrend
ln_mw_dynamic,cumsum_from0,-1,0,0,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,0,.036607094,.015307829,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,1,.033043757,.023985639,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,2,.031382665,.033052161,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,3,.033520464,.037375279,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,4,.041851923,.041135278,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,5,.03826417,.042733066,123105,.021276336,.88975853
ln_mw_dynamic,cumsum_from0,6,.034290507,.043928303,123105,.021276336,.88975853
ln_mw_dynamic,exp_ln_mw,0,.075176448,.027018538,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-6,.0026649144,.0077121994,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-5,-.0079364572,.0078069367,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-4,-.0070299893,.0088929478,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-3,.0031764591,.0074189864,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-2,.0041031041,.011537861,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,-1,-.0016709892,.013393575,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,0,-.038569354,.017198531,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,1,-.0035633363,.013033424,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,2,-.0016610934,.012880081,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,3,.0021378011,.0066901655,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,4,.0083314581,.0080591412,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,5,-.003587754,.0060147899,123105,.021276336,.88975853
ln_mw_dynamic,ln_mw,6,-.0039736605,.0084450729,123105,.021276336,.88975853
