model,var,at,b,se,N,r2,p_pretrend
baseline_exp_ln_mw_dynamic,cumsum_from0,-1,0,0,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,0,-.0081824614,.05580499,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,1,.0095799528,.10299146,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,2,-.070894584,.11508944,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,3,-.047583602,.15208344,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,4,.026653359,.15524279,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,5,.04958231,.16182174,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,cumsum_from0,6,.017737599,.15403299,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-6,.056724306,.046989623,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-5,-.018613808,.031905904,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-4,.018121025,.04500192,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-3,-.017480345,.044005021,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-2,-.037540067,.030413046,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,-1,.0016469305,.03545728,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,0,.048641924,.083366171,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,1,.017762413,.058969729,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,2,-.080474541,.030956272,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,3,.023310982,.04293815,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,4,.074236959,.037268773,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,5,.022928951,.021853179,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,exp_ln_mw,6,-.031844713,.026884409,44009,.17486848,.4575972
baseline_exp_ln_mw_dynamic,ln_mw,0,-.056824382,.051152911,44009,.17486848,.4575972
both_ln_mw_dynamic,cumsum_from0,-1,0,0,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,0,-.0066077523,.054553222,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,1,.017535865,.097271681,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,2,-.043885436,.10849562,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,3,-.032544173,.1382135,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,4,.015750634,.13866474,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,5,.018650113,.14136918,44009,.17485136,.0014136888
both_ln_mw_dynamic,cumsum_from0,6,.006805182,.13849425,44009,.17485136,.0014136888
both_ln_mw_dynamic,exp_ln_mw,0,.042862836,.078761928,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-6,.033763781,.041868161,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-5,-.017074078,.027699562,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-4,.0025097856,.024399564,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-3,.0199241,.033697043,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-2,-.024106223,.012287312,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,-1,.015062695,.025588781,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,0,-.049470589,.049586806,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,1,.024143618,.051974803,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,2,-.061421301,.025175074,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,3,.011341261,.030972401,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,4,.048294809,.029541796,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,5,.0028994803,.012211921,44009,.17485136,.0014136888
both_ln_mw_dynamic,ln_mw,6,-.011844932,.014191522,44009,.17485136,.0014136888
exp_ln_mw_only_dynamic,cumsum_from0,-1,0,0,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,0,-.017434312,.052884076,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,1,.00012162665,.10098171,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,2,-.079660736,.11301827,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,3,-.055443097,.15098312,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,4,.018838879,.15461093,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,5,.041517645,.16171297,44009,.17485131,.52209473
exp_ln_mw_only_dynamic,cumsum_from0,6,.0091357287,.15355302,44009,.17485131,.52209473
