model,var,at,b,se,N,r2
static_both,mw_wkp_tot_17,0,.068509839,.028822862,80241,.021290367
static_both,mw_res,0,-.021866754,.017538942,80241,.021290367
static_both,cumsum_from0,0,.04664309,.015835185,80241,.021290367
het_mw_shares,mw_res_std_sh_mw_wkrs_statutory,0,-.068672255,.026948072,75329,.021171166
het_mw_shares,mw_res_std_sh_mw_wkrs_statutory,1,-.092420183,.045215368,75329,.021171166
het_mw_shares,mw_wkp_std_sh_mw_wkrs_statutory,0,.11826561,.036901619,75329,.021171166
het_mw_shares,mw_wkp_std_sh_mw_wkrs_statutory,1,.097112045,.051376279,75329,.021171166
het_mw_shares,sum_res,0,-.16109243,.069094107,,
het_mw_shares,sum_wkp,0,.21537766,.081683241,,
het_public_hous,mw_res_high_public_hous,0,-.022377368,.015961988,79941,.021307042
het_public_hous,mw_res_high_public_hous,1,-.033793595,.034875907,79941,.021307042
het_public_hous,mw_wkp_high_public_hous,0,.070357814,.027141573,79941,.021307042
het_public_hous,mw_wkp_high_public_hous,1,.030514363,.039612111,79941,.021307042
het_public_hous,sum_res,0,-.056170963,.039220106,,
het_public_hous,sum_wkp,0,.10087217,.050694589,,
het_med_inc,mw_res_std_med_hhld_inc,0,-.052264348,.031135466,77197,.021114435
het_med_inc,mw_res_std_med_hhld_inc,1,.056409121,.029653775,77197,.021114435
het_med_inc,mw_wkp_std_med_hhld_inc,0,.10365275,.043141101,77197,.021114435
het_med_inc,mw_wkp_std_med_hhld_inc,1,-.067750774,.038347177,77197,.021114435
het_med_inc,sum_res,0,.0041447734,.019004174,,
het_med_inc,sum_wkp,0,.035901979,.025208907,,
