model,var,at,b,se,N,r2,p_equality,p_pretrend
SF_rents_dyn,mw_wkp_tot_17,-6,-.0035234028,.0079721725,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,-5,-.0030615518,.012763752,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,-4,-.0041120155,.0088470085,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,-3,-.0026270673,.013989446,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,-2,.0025299366,.0071930136,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,-1,-.00092628074,.01132569,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,0,.028170157,.046790328,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,1,.02125163,.0090806279,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,2,-.0059300647,.0088871708,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,3,.0061074174,.013607511,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,4,-.0031364928,.011112963,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,5,-.01023791,.011048586,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_wkp_tot_17,6,-.0095172599,.0091017215,116085,.023327554,.71769297,.97743744
SF_rents_dyn,mw_res,0,-.0034797813,.041021354,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,-1,0,0,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,0,.024690377,.013132054,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,1,.045942005,.017219905,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,2,.040011942,.022306051,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,3,.046119358,.033849023,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,4,.042982865,.04127707,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,5,.032744955,.046646237,116085,.023327554,.71769297,.97743744
SF_rents_dyn,cumsum_from0,6,.023227695,.04788252,116085,.023327554,.71769297,.97743744
CC_rents_dyn,mw_wkp_tot_17,-6,-.0043952204,.023350777,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,-5,-.014531929,.028846603,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,-4,-.01636433,.026943415,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,-3,.0087248301,.01402196,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,-2,-.012458772,.021202173,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,-1,.0040444117,.019150872,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,0,.12505867,.03397334,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,1,-.017126556,.016598901,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,2,-.0067850016,.015646826,25769,.040840589,.0013880144,.96563017
CC_rents_dyn,mw_wkp_tot_17,3,.012448291,.016476287,25769,.040840589,.0013880144,.96563017
