model,var,at,b,se,N,r2,p_equality
baseline_rents,mw_wkp_tot_17,0,.068211697,.030634338,78912,.021569265,.079162717
baseline_rents,mw_res,0,-.02013409,.020030867,78912,.021569265,.079162717
baseline_rents,cumsum_from0,0,.048077609,.016568262,78912,.021569265,.079162717
baseline_wkp_mw_on_res_mw,mw_res,0,.86131603,.038638268,78912,.94312179,
baseline_wkp_mw_on_res_mw,cumsum_from0,0,.86131603,.038638268,78912,.94312179,
nocontrols_rents,mw_wkp_tot_17,0,.065721355,.030952079,79355,.021324718,.10005908
nocontrols_rents,mw_res,0,-.017766954,.02040264,79355,.021324718,.10005908
nocontrols_rents,cumsum_from0,0,.047954403,.017010592,79355,.021324718,.10005908
nocontrols_wkp_mw_on_res_mw,mw_res,0,.86192143,.038667414,79355,.94285583,
nocontrols_wkp_mw_on_res_mw,cumsum_from0,0,.86192143,.038667414,79355,.94285583,
countytime_fe_rents,mw_wkp_tot_17,0,.1485669,.13570224,74340,.17669845,.26692727
countytime_fe_rents,mw_res,0,-.05919385,.057124581,74340,.17669845,.26692727
countytime_fe_rents,cumsum_from0,0,.08937306,.097698458,74340,.17669845,.26692727
countytime_fe_wkp_mw_on_res_mw,mw_res,0,.28220448,.042487923,74340,.99554795,
countytime_fe_wkp_mw_on_res_mw,cumsum_from0,0,.28220448,.042487923,74340,.99554795,
cbsatime_fe_rents,mw_wkp_tot_17,0,.10649706,.06443473,76995,.11117469,.12696289
cbsatime_fe_rents,mw_res,0,-.040694389,.030882923,76995,.11117469,.12696289
cbsatime_fe_rents,cumsum_from0,0,.065802671,.036873579,76995,.11117469,.12696289
cbsatime_fe_wkp_mw_on_res_mw,mw_res,0,.50933105,.040230058,76995,.98764271,
cbsatime_fe_wkp_mw_on_res_mw,cumsum_from0,0,.50933105,.040230058,76995,.98764271,
place_codetime_fe_rents,mw_wkp_tot_17,0,.39396599,.27412671,56227,.24170274,.16586143
place_codetime_fe_rents,mw_res,0,-.30179572,.22227152,56227,.24170274,.16586143
place_codetime_fe_rents,cumsum_from0,0,.092170268,.095350087,56227,.24170274,.16586143
place_codetime_fe_wkp_mw_on_res_mw,mw_res,0,.88676924,.040813409,56227,.99816525,
place_codetime_fe_wkp_mw_on_res_mw,cumsum_from0,0,.88676924,.040813409,56227,.99816525,
statefipstime_fe_rents,mw_wkp_tot_17,0,-.014296247,.062968299,79060,.057798792,.71832526
statefipstime_fe_rents,mw_res,0,.018038847,.027438881,79060,.057798792,.71832526
statefipstime_fe_rents,cumsum_from0,0,.0037426006,.039093155,79060,.057798792,.71832526
statefipstime_fe_wkp_mw_on_res_mw,mw_res,0,.53510308,.066931479,79060,.98158449,
statefipstime_fe_wkp_mw_on_res_mw,cumsum_from0,0,.53510308,.066931479,79060,.98158449,
ziptrend_rents,mw_wkp_tot_17,0,.071322583,.028181359,78912,.024615256,.053396467
ziptrend_rents,mw_res,0,-.020747304,.019235203,78912,.024615256,.053396467
ziptrend_rents,cumsum_from0,0,.050575275,.013745061,78912,.024615256,.053396467
ziptrend_wkp_mw_on_res_mw,mw_res,0,.85850286,.040279895,78912,.94453466,
ziptrend_wkp_mw_on_res_mw,cumsum_from0,0,.85850286,.040279895,78912,.94453466,
fullbal_rents,mw_wkp_tot_17,0,.068211697,.030634338,78912,.021569265,.079162717
fullbal_rents,mw_res,0,-.02013409,.020030867,78912,.021569265,.079162717
fullbal_rents,cumsum_from0,0,.048077609,.016568262,78912,.021569265,.079162717
fullbal_wkp_mw_on_res_mw,mw_res,0,.86131603,.038638268,78912,.94312179,
fullbal_wkp_mw_on_res_mw,cumsum_from0,0,.86131603,.038638268,78912,.94312179,
fullbal_wgt_rents,mw_wkp_tot_17,0,.09133666,.037197042,78381,.017554095,.079131648
fullbal_wgt_rents,mw_res,0,-.024604356,.029527307,78381,.017554095,.079131648
fullbal_wgt_rents,cumsum_from0,0,.066732302,.019378597,78381,.017554095,.079131648
fullbal_wgt_wkp_mw_on_res_mw,mw_res,0,.88729954,.042101428,78381,.95409566,
fullbal_wgt_wkp_mw_on_res_mw,cumsum_from0,0,.88729954,.042101428,78381,.95409566,
unbalanced_rents,mw_wkp_tot_17,0,.047131926,.030850841,193292,.016046558,.15591922
unbalanced_rents,mw_res,0,-.025374131,.021047974,193292,.016046558,.15591922
unbalanced_rents,cumsum_from0,0,.021757795,.01611837,193292,.016046558,.15591922
unbalanced_wkp_mw_on_res_mw,mw_res,0,.8471452,.030126618,193292,.93694067,
unbalanced_wkp_mw_on_res_mw,cumsum_from0,0,.8471452,.030126618,193292,.93694067,
unbalanced_wgt_rents,mw_wkp_tot_17,0,.041953016,.037308548,192177,.012795249,.29593804
unbalanced_wgt_rents,mw_res,0,-.017740654,.021380942,192177,.012795249,.29593804
unbalanced_wgt_rents,cumsum_from0,0,.024212364,.022548756,192177,.012795249,.29593804
unbalanced_wgt_wkp_mw_on_res_mw,mw_res,0,.86740226,.031892709,192177,.94278747,
unbalanced_wgt_wkp_mw_on_res_mw,cumsum_from0,0,.86740226,.031892709,192177,.94278747,
unbal_by_entry_rents,mw_wkp_tot_17,0,.047131926,.030850841,193292,.016046558,.15591922
unbal_by_entry_rents,mw_res,0,-.025374131,.021047974,193292,.016046558,.15591922
unbal_by_entry_rents,cumsum_from0,0,.021757795,.01611837,193292,.016046558,.15591922
unbal_by_entry_wkp_mw_on_res_mw,mw_res,0,.8471452,.030126618,193292,.93694067,
unbal_by_entry_wkp_mw_on_res_mw,cumsum_from0,0,.8471452,.030126618,193292,.93694067,
unbal_by_entry_wgt_rents,mw_wkp_tot_17,0,.04195302,.037308548,192177,.012795249,.29593801
unbal_by_entry_wgt_rents,mw_res,0,-.017740654,.021380942,192177,.012795249,.29593801
unbal_by_entry_wgt_rents,cumsum_from0,0,.024212364,.022548756,192177,.012795249,.29593801
unbal_by_entry_wgt_wkp_mw_on_res_mw,mw_res,0,.86740226,.031892709,192177,.94278747,
unbal_by_entry_wgt_wkp_mw_on_res_mw,cumsum_from0,0,.86740226,.031892709,192177,.94278747,
AB_rents,mw_wkp_tot_17,0,.068983227,.041500881,78893,-.28077486,
AB_rents,mw_res,0,-.018342916,.026755553,78893,-.28077486,
AB_rents,cumsum_from0,0,.050640311,.021416748,78893,-.28077486,
AB_rents,L_ln_rents,0,.32474118,.017693339,78893,-.28077486,
levels_model,mw_wkp_tot_17,0,.03863268,.20220231,78995,.99250954,
levels_model,mw_res,0,-.044772107,.17351067,78995,.99250954,
levels_model,cumsum_from0,0,-.0061394288,.10013666,78995,.99250954,
AB_levels_model,mw_wkp_tot_17,0,.0098595936,.034567606,78987,.54872066,
AB_levels_model,mw_res,0,-.0084513873,.029687667,78987,.54872066,
AB_levels_model,cumsum_from0,0,.0014082065,.017166128,78987,.54872066,
AB_levels_model,L_ln_rents,0,.83966988,.018378498,78987,.54872066,
SF_rents,mw_wkp_tot_17,0,.038540158,.04709414,140750,.034265459,.54684013
SF_rents,mw_res,0,-.013327729,.039150316,140750,.034265459,.54684013
SF_rents,cumsum_from0,0,.025212431,.014039173,140750,.034265459,.54684013
SF_wkp_mw_on_res_mw,mw_res,0,.85905844,.03187472,140750,.94475794,
SF_wkp_mw_on_res_mw,cumsum_from0,0,.85905844,.03187472,140750,.94475794,
CC_rents,mw_wkp_tot_17,0,.097526811,.042709824,29817,.0812575,.025571555
CC_rents,mw_res,0,-.068218015,.028818464,29817,.0812575,.025571555
CC_rents,cumsum_from0,0,.029308794,.018730961,29817,.0812575,.025571555
CC_wkp_mw_on_res_mw,mw_res,0,.80103761,.029112168,29817,.94257426,
CC_wkp_mw_on_res_mw,cumsum_from0,0,.80103761,.029112168,29817,.94257426,
Studio_rents,mw_wkp_tot_17,0,.077237725,.056994047,22746,.080331109,.18924457
Studio_rents,mw_res,0,-.066555321,.051989377,22746,.080331109,.18924457
Studio_rents,cumsum_from0,0,.0106824,.020662405,22746,.080331109,.18924457
Studio_wkp_mw_on_res_mw,mw_res,0,.83303624,.028702334,22746,.9566083,
Studio_wkp_mw_on_res_mw,cumsum_from0,0,.83303624,.028702334,22746,.9566083,
1BR_rents,mw_wkp_tot_17,0,-.033602461,.045610461,53538,.055500168,.39094141
1BR_rents,mw_res,0,.028409075,.026550503,53538,.055500168,.39094141
1BR_rents,cumsum_from0,0,-.0051933872,.021173637,53538,.055500168,.39094141
1BR_wkp_mw_on_res_mw,mw_res,0,.78630519,.030295633,53538,.92485482,
1BR_wkp_mw_on_res_mw,cumsum_from0,0,.78630519,.030295633,53538,.92485482,
2BR_rents,mw_wkp_tot_17,0,.0043010074,.028585462,89635,.042240553,.84974712
2BR_rents,mw_res,0,-.0053539947,.023156609,89635,.042240553,.84974712
2BR_rents,cumsum_from0,0,-.0010529874,.01168452,89635,.042240553,.84974712
2BR_wkp_mw_on_res_mw,mw_res,0,.79985416,.029732592,89635,.92769557,
2BR_wkp_mw_on_res_mw,cumsum_from0,0,.79985416,.029732592,89635,.92769557,
3BR_rents,mw_wkp_tot_17,0,.092049599,.068377003,64916,.044075545,.17425585
3BR_rents,mw_res,0,-.063398711,.047197253,64916,.044075545,.17425585
3BR_rents,cumsum_from0,0,.028650889,.033428706,64916,.044075545,.17425585
