model,var,at,b,se,N,r2,p_equality,p_pretrend
stacked_dyn_w6,d_ln_mw,0,-.064845808,.042910106,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-6,-.040171985,.02436333,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-5,.078941792,.023865478,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-4,-.03883823,.026501946,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-3,-.031106366,.026457757,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-2,-.000059632195,.043265738,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,-1,-.0148581,.0280337,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,0,.074477538,.081000738,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,1,-.03289143,.062690683,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,2,.029239887,.030432768,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,3,-.019061312,.021823596,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,4,.0023081733,.051320612,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,5,-.031424627,.031500503,74801,.10149641,.26514968,.0029438969
stacked_dyn_w6,d_exp_ln_mw,6,-.019193379,.05327839,74801,.10149641,.26514968,.0029438969
stacked_dyn_w3,d_ln_mw,0,-.039313715,.032163341,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,-3,-.019819319,.025293166,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,-2,.0052244337,.022650855,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,-1,-.0071178554,.014462763,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,0,.083844602,.064535625,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,1,-.020884302,.022511121,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,2,.041897163,.013562532,58708,.08850459,.20256934,.88680738
stacked_dyn_w3,d_exp_ln_mw,3,-.014106646,.034399297,58708,.08850459,.20256934,.88680738
stacked_dyn_w9,d_ln_mw,0,-.065376773,.041910879,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-9,.036474537,.030736404,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-8,-.046084832,.036884028,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-7,-.0088258591,.05327139,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-6,-.011180029,.031891085,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-5,.12838431,.04155888,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-4,-.045637049,.03387351,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-3,-.070292547,.024079947,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-2,.051392917,.046129391,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,-1,-.038722664,.048709281,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,0,.0918108,.08414118,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,1,-.01999525,.076625854,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,2,.013269759,.029784175,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,3,-.036014851,.055562109,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,4,.016262766,.090517007,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,5,-.0095996428,.020924633,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,6,-.014148031,.064056881,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,7,-.04113492,.033142548,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,8,-.013293159,.077842832,85882,.10669541,.21397744,1.3775106e-12
stacked_dyn_w9,d_exp_ln_mw,9,.07200782,.025462588,85882,.10669541,.21397744,1.3775106e-12
