model,var,at,b,se,N,r2,p_equality,p_pretrend
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-6,-.018190039,.024898686,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-5,.032570552,.026565839,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-4,-.035368454,.018695407,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-3,-.014384624,.023789471,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-2,.012345024,.042401344,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,-1,-.0058606681,.033083804,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,0,.050834682,.041487105,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,1,-.024963206,.050721534,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,2,-.021327265,.029002475,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,3,.014006105,.024884287,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,4,.003192767,.046355609,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,5,-.0036911764,.025214816,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_wkp_tot_17,6,.018797806,.021137606,103626,.083553024,.24899049,.000086037639
mw_wkp_only_dynamic_w6,d_mw_res,0,-.024707077,.026255446,103626,.083553024,.24899049,.000086037639
