model,var,at,b,se,N,r2,p_equality,p_pretrend
stacked_dyn_w6,d_ln_mw,0,-.020519473,.016850082,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-6,-.015497559,.015733352,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-5,-.01541203,.023907842,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-4,-.010525462,.01044331,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-3,.0037258957,.016113367,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-2,.030152634,.015420471,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,-1,.063092887,.034070786,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,0,-.0059257336,.027419891,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,1,.0030580286,.014556941,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,2,.003045744,.012429715,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,3,.014433816,.012996931,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,4,.053981997,.013629948,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,5,.049504302,.026088333,951338,.025144506,.73787284,.00049649493
stacked_dyn_w6,d_exp_ln_mw,6,-.033739652,.0067977668,951338,.025144506,.73787284,.00049649493
stacked_dyn_w3,d_ln_mw,0,-.0097794831,.010734078,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,-3,.0094634984,.009108901,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,-2,-.017244576,.013999254,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,-1,.028562492,.014990455,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,0,.02258379,.024628436,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,1,.053093307,.021605795,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,2,.013900174,.011705008,646196,.027020628,.36502168,.16207843
stacked_dyn_w3,d_exp_ln_mw,3,.015782116,.0076928781,646196,.027020628,.36502168,.16207843
stacked_dyn_w9,d_ln_mw,0,-.0072704726,.013009625,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-9,-.068402968,.027474958,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-8,-.015056359,.019767767,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-7,-.024386156,.013222734,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-6,.0058371727,.02268034,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-5,.062097508,.029804107,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-4,-.025077289,.014303022,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-3,.014078243,.023313483,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-2,.016384332,.018452892,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,-1,.060081646,.023076048,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,0,-.01659325,.023667794,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,1,-.022226626,.014643171,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,2,-.0027168992,.013343502,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,3,.076577477,.025385298,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,4,.08430507,.017127337,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,5,.059240103,.016942186,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,6,-.051009435,.0075212526,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,7,-.094491072,.016527567,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,8,.012487059,.017524196,1109186,.028660992,.78352493,5.3083384e-23
stacked_dyn_w9,d_exp_ln_mw,9,-.017880324,.0060020289,1109186,.028660992,.78352493,5.3083384e-23
