model,var,at,b,se,N,r2,p_pretrend
time_FE,mw_wkp_F,-4,-.0070418441,.014668193,22984,.058873132,.30674431
time_FE,mw_wkp_F,-3,-.0017917809,.012668999,22984,.058873132,.30674431
time_FE,mw_wkp_F,-2,.010561387,.0074447226,22984,.058873132,.30674431
time_FE,mw_wkp_F,-1,.0028647454,.0066186185,22984,.058873132,.30674431
time_FE,mw_wkp_F,0,.02276306,.024584785,22984,.058873132,.30674431
time_FE,mw_wkp_F,1,.012572809,.011875639,22984,.058873132,.30674431
time_FE,mw_wkp_F,2,.019625327,.013563343,22984,.058873132,.30674431
time_FE,mw_wkp_F,3,.018656958,.013795067,22984,.058873132,.30674431
time_FE,mw_wkp_F,4,.0054284856,.0071457098,22984,.058873132,.30674431
time_FE,mw_res_F,0,-.027179826,.013645218,22984,.058873132,.30674431
time_FE,cumsum_from0,-1,0,0,22984,.058873132,.30674431
time_FE,cumsum_from0,0,-.0044167652,.012504714,22984,.058873132,.30674431
time_FE,cumsum_from0,1,.0081560435,.023015076,22984,.058873132,.30674431
time_FE,cumsum_from0,2,.027781369,.032362178,22984,.058873132,.30674431
time_FE,cumsum_from0,3,.046438325,.042926144,22984,.058873132,.30674431
time_FE,cumsum_from0,4,.051866811,.045265965,22984,.058873132,.30674431
cbsa_time_FE,mw_wkp_F,-4,-.011540997,.032779466,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,-3,-.0062190695,.012839662,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,-2,-.0064615533,.011044671,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,-1,.0037095931,.0067612105,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,0,.074844047,.03844621,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,1,.043317027,.023480784,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,2,.06054914,.019590054,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,3,.023134649,.021097213,20793,.18503816,.95290983
cbsa_time_FE,mw_wkp_F,4,-.0088239135,.010824438,20793,.18503816,.95290983
cbsa_time_FE,mw_res_F,0,-.048591025,.029046305,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,-1,0,0,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,0,.026253019,.015559196,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,1,.069570042,.035945911,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,2,.13011919,.048974838,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,3,.15325384,.062302817,20793,.18503816,.95290983
cbsa_time_FE,cumsum_from0,4,.14442992,.060457397,20793,.18503816,.95290983
