Started at 04:23:31PM Pacific Daylight Time on Jul 02, 2023

04:23:31PM:    Folder /fd_baseline/ started.
04:26:50PM:    Folder /non_parametric/ started.
04:28:40PM:    Folder /fd_geos_times/ started.
04:31:11PM:    Folder /fd_heterogeneity/ started.
04:31:49PM:    Folder /fd_robustness/ started.
04:44:17PM:    Folder /fd_stacked/ started.
04:45:14PM:    Folder /twfe_wages/ started.
04:47:37PM:    Folder /fd_test/ started.
04:47:50PM:    Folder /counterfactuals/ started.
04:52:56PM:    Folder /autocorrelation/ started.
04:53:17PM:    Folder /alternative_outcomes/ started.

Finished at 04:56:27PM Pacific Daylight Time on Jul 02, 2023
