model,var,b,se,N,r2,r2_within
naive,ln_mw_avg,-.038542688,.1341086,246890,.99840981,.015318728
naive,exp_ln_mw_tot_17_avg,.19847482,.16226667,246890,.99840981,.015318728
ctrls,ln_mw_avg,-.037018251,.10314049,226356,.99859595,.12599519
ctrls,exp_ln_mw_tot_17_avg,.16302925,.11539523,226356,.99859595,.12599519
cbsa_time,ln_mw_avg,.019805022,.072607286,226211,.99885964,.025868639
cbsa_time,exp_ln_mw_tot_17_avg,.089398287,.096305989,226211,.99885964,.025868639
county_time,ln_mw_avg,.073647611,.032628208,225619,.99907106,.0010251099
county_time,exp_ln_mw_tot_17_avg,.33328176,.12535143,225619,.99907106,.0010251099
cbsa_time_baseline,ln_mw_avg,-.028679518,.18018216,9835,.9925189,.0340432
cbsa_time_baseline,exp_ln_mw_tot_17_avg,.22143093,.24258724,9835,.9925189,.0340432
exp_mw_10,ln_mw_avg,.037711084,.070048623,226211,.99885958,.025800021
exp_mw_10,exp_ln_mw_tot_10_avg,.065642036,.091607213,226211,.99885958,.025800021
exp_mw_18,ln_mw_avg,.021412335,.073124699,226211,.99885964,.025861908
exp_mw_18,exp_ln_mw_tot_18_avg,.087410845,.096271746,226211,.99885964,.025861908
exp_mw_varying,ln_mw_avg,.039840952,.069715142,226211,.99885958,.025799569
exp_mw_varying,exp_ln_mw_tot_avg,.06414701,.093295217,226211,.99885958,.025799569
dividends,ln_mw_avg,-.12983647,.13320982,214563,.97545773,.0012792485
dividends,exp_ln_mw_tot_17_avg,.22189175,.22196172,214563,.97545773,.0012792485
