=========================================================================================
Filename: ../output/Zip_InventoryMeasure_Public_AllHomes.csv
Key: zipcode, city, county, msa, statename.
Dimension: 11111 x 98.

|var       |type      | n_NA| ch.min| ch.max| ch.n_unique|    num.mean|      num.sd| num.p0| num.p50| num.p100|
|:---------|:---------|----:|------:|------:|-----------:|-----------:|-----------:|------:|-------:|--------:|
|city      |character |    0|      3|     30|        6054|          NA|          NA|     NA|      NA|       NA|
|county    |character |    0|      3|     22|        1181|          NA|          NA|     NA|      NA|       NA|
|msa       |character |    0|      0|     34|         667|          NA|          NA|     NA|      NA|       NA|
|statename |character |    0|      4|     20|          51|          NA|          NA|     NA|      NA|       NA|
|zipcode   |numeric   |    0|     NA|     NA|          NA| 45404.28557| 28659.06594|   1001|   40403|    99801|
|2010-01   |numeric   |    0|     NA|     NA|          NA|   144.44964|   137.73987|      4|     104|     2256|
|2010-02   |numeric   |    0|     NA|     NA|          NA|   147.93223|   139.90616|      4|     106|     2188|
|2010-03   |numeric   |    0|     NA|     NA|          NA|   157.75205|   146.47813|      4|     115|     2119|
|2010-04   |numeric   |    0|     NA|     NA|          NA|   162.89758|   148.67545|      5|     120|     2060|
|2010-05   |numeric   |    0|     NA|     NA|          NA|   157.86662|   143.30076|      5|     116|     2063|
|2010-06   |numeric   |    0|     NA|     NA|          NA|   162.57439|   147.52485|      5|     120|     2423|
|2010-07   |numeric   |    0|     NA|     NA|          NA|   165.12294|   148.02877|      6|     122|     2190|
|2010-08   |numeric   |    0|     NA|     NA|          NA|   163.39753|   144.76131|      6|     121|     1952|
|2010-09   |numeric   |    0|     NA|     NA|          NA|   166.50320|   150.03640|      6|     123|     2299|
|2010-10   |numeric   |    0|     NA|     NA|          NA|   164.65764|   149.82988|      6|     122|     2610|
|2010-11   |numeric   |    0|     NA|     NA|          NA|   162.70192|   151.32995|      6|     120|     2633|
|2010-12   |numeric   |    0|     NA|     NA|          NA|   160.06318|   152.05884|      6|     116|     2639|
|2011-01   |numeric   |    0|     NA|     NA|          NA|   152.18315|   146.27245|      6|     110|     2427|
|2011-02   |numeric   |    0|     NA|     NA|          NA|   156.77914|   150.87232|      5|     112|     2520|
|2011-03   |numeric   |    0|     NA|     NA|          NA|   165.86248|   155.97835|      5|     120|     2292|
|2011-04   |numeric   |    0|     NA|     NA|          NA|   169.35415|   156.90125|      6|     124|     2190|
|2011-05   |numeric   |    0|     NA|     NA|          NA|   169.23562|   153.53268|      6|     126|     1958|
|2011-06   |numeric   |    0|     NA|     NA|          NA|   173.54451|   157.06901|      6|     129|     1999|
|2011-07   |numeric   |    0|     NA|     NA|          NA|   179.43776|   162.74216|      8|     134|     2153|
|2011-08   |numeric   |    0|     NA|     NA|          NA|   175.30708|   155.50342|      7|     132|     2038|
|2011-09   |numeric   |    0|     NA|     NA|          NA|   168.62623|   149.66474|      8|     128|     2121|
|2011-10   |numeric   |    0|     NA|     NA|          NA|   162.98443|   144.38014|      8|     124|     2116|
|2011-11   |numeric   |    0|     NA|     NA|          NA|   161.14157|   146.50022|      7|     121|     2145|
|2011-12   |numeric   |    0|     NA|     NA|          NA|   150.40482|   139.12531|      8|     112|     2080|
|2012-01   |numeric   |    0|     NA|     NA|          NA|   140.72433|   132.41394|      6|     104|     1980|
|2012-02   |numeric   |    0|     NA|     NA|          NA|   140.70975|   133.15798|      6|     103|     1928|
|2012-03   |numeric   |    0|     NA|     NA|          NA|   139.77752|   130.73038|      6|     102|     1878|
|2012-04   |numeric   |    0|     NA|     NA|          NA|   135.03978|   123.19946|      6|     100|     1648|
|2012-05   |numeric   |    0|     NA|     NA|          NA|   136.23058|   122.65010|      7|     100|     1573|
|2012-06   |numeric   |    0|     NA|     NA|          NA|   137.35640|   121.55169|      6|     102|     1490|
|2012-07   |numeric   |    0|     NA|     NA|          NA|   133.19908|   116.46267|      6|      99|     1438|
|2012-08   |numeric   |    0|     NA|     NA|          NA|   130.36189|   113.83133|      7|      97|     1397|
|2012-09   |numeric   |    0|     NA|     NA|          NA|   126.83224|   110.88412|      6|      94|     1428|
|2012-10   |numeric   |    0|     NA|     NA|          NA|   121.52939|   106.40505|      6|      91|     1409|
|2012-11   |numeric   |    0|     NA|     NA|          NA|   117.07056|   104.36357|      6|      86|     1322|
|2012-12   |numeric   |    0|     NA|     NA|          NA|   108.96220|    99.64648|      5|      80|     1270|
|2013-01   |numeric   |    0|     NA|     NA|          NA|   103.35478|    96.70971|      6|      75|     1332|
|2013-02   |numeric   |    0|     NA|     NA|          NA|   107.00891|   101.50412|      6|      77|     1606|
|2013-03   |numeric   |    0|     NA|     NA|          NA|   110.60409|   105.17825|      6|      80|     1692|
|2013-04   |numeric   |    0|     NA|     NA|          NA|   112.59500|   104.05240|      6|      81|     1428|
|2013-05   |numeric   |    0|     NA|     NA|          NA|   115.22536|   103.57831|      6|      84|     1436|
|2013-06   |numeric   |    0|     NA|     NA|          NA|   116.47007|   103.77196|      8|      86|     1780|
|2013-07   |numeric   |    0|     NA|     NA|          NA|   114.86320|   100.21822|      6|      86|     1716|
|2013-08   |numeric   |    0|     NA|     NA|          NA|   116.81343|   100.21606|      7|      88|     1722|
|2013-09   |numeric   |    0|     NA|     NA|          NA|   115.65647|    99.43514|      7|      88|     1728|
|2013-10   |numeric   |    0|     NA|     NA|          NA|   114.58312|    99.40887|      6|      87|     1667|
|2013-11   |numeric   |    0|     NA|     NA|          NA|   111.87148|    99.01675|      7|      84|     1582|
|2013-12   |numeric   |    0|     NA|     NA|          NA|   106.37467|    96.92448|      6|      79|     1550|
|2014-01   |numeric   |    0|     NA|     NA|          NA|    99.37692|    93.01681|      5|      73|     1522|
|2014-02   |numeric   |    0|     NA|     NA|          NA|   100.96130|    96.14127|      5|      73|     1530|
|2014-03   |numeric   |    0|     NA|     NA|          NA|   103.62920|    98.32716|      5|      75|     1574|
|2014-04   |numeric   |    0|     NA|     NA|          NA|   109.61948|   102.20327|      6|      80|     1623|
|2014-05   |numeric   |    0|     NA|     NA|          NA|   115.85510|   105.43798|      7|      86|     1656|
|2014-06   |numeric   |    0|     NA|     NA|          NA|   120.77698|   106.23348|      7|      90|     1671|
|2014-07   |numeric   |    0|     NA|     NA|          NA|   123.14409|   106.31272|      7|      94|     1625|
|2014-08   |numeric   |    0|     NA|     NA|          NA|   123.36009|   104.69752|      8|      94|     1407|
|2014-09   |numeric   |    0|     NA|     NA|          NA|   122.16092|   104.10565|      7|      93|     1561|
|2014-10   |numeric   |    0|     NA|     NA|          NA|   119.36270|   102.24362|      6|      91|     1532|
|2014-11   |numeric   |    0|     NA|     NA|          NA|   114.55693|   100.32261|      7|      86|     1620|
|2014-12   |numeric   |    0|     NA|     NA|          NA|   105.94249|    96.32849|      6|      78|     1586|
|2015-01   |numeric   |    0|     NA|     NA|          NA|    99.86923|    93.39404|      4|      72|     1528|
|2015-02   |numeric   |    0|     NA|     NA|          NA|   100.34353|    95.29991|      5|      72|     1538|
|2015-03   |numeric   |    0|     NA|     NA|          NA|   100.44883|    92.41514|      5|      72|     1180|
