=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean    |sd      |median |min     |max    |n  |na_count |
|:--------|:-------|:-------|:------|:-------|:------|:--|:--------|
|zipcode  |NA      |NA      |NA     |NA      |NA     |NA |5        |
|city     |NA      |NA      |NA     |NA      |NA     |NA |5        |
|stateabb |NA      |NA      |NA     |NA      |NA     |NA |5        |
|msa      |NA      |NA      |NA     |NA      |NA     |NA |5        |
|county   |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2010.09 |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2010.10 |NaN     |NA      |Inf    |NA      |-Inf   |0  |5        |
|X2010.11 |NaN     |NA      |Inf    |NA      |-Inf   |0  |5        |
|X2010.12 |NaN     |NA      |Inf    |NA      |-Inf   |0  |5        |
|X2011.01 |1597.5  |NA      |1597.5 |1597.5  |1597.5 |1  |4        |
|X2011.02 |1633    |94.75   |1566   |1633    |1700   |2  |3        |
|X2011.03 |1648.75 |72.48   |1597.5 |1648.75 |1700   |2  |3        |
|X2011.04 |1625    |35.36   |1600   |1625    |1650   |2  |3        |
|X2011.05 |1630    |42.43   |1600   |1630    |1660   |2  |3        |
|X2011.06 |1707.5  |45.96   |1675   |1707.5  |1740   |2  |3        |
|X2011.07 |1730    |77.78   |1675   |1730    |1785   |2  |3        |
|X2011.08 |1700    |141.42  |1600   |1700    |1800   |2  |3        |
|X2011.09 |2118.33 |636.25  |1695   |1810    |2850   |3  |2        |
|X2011.10 |2190.83 |684.29  |1700   |1900    |2972.5 |3  |2        |
|X2011.11 |2257.5  |798.7   |1700   |1900    |3172.5 |3  |2        |
|X2011.12 |2215    |691.68  |1695   |1950    |3000   |3  |2        |
|X2012.01 |2206.67 |696.43  |1675   |1950    |2995   |3  |2        |
|X2012.02 |2158.33 |741.76  |1600   |1875    |3000   |3  |2        |
|X2012.03 |2141.67 |751.8   |1600   |1825    |3000   |3  |2        |
|X2012.04 |2155    |743.69  |1600   |1865    |3000   |3  |2        |
|X2012.05 |2238.33 |839.42  |1625   |1895    |3195   |3  |2        |
|X2012.06 |2298.33 |795.62  |1695   |2000    |3200   |3  |2        |
|X2012.07 |2246.67 |674.19  |1700   |2040    |3000   |3  |2        |
|X2012.08 |2373.33 |732.47  |1695   |2275    |3150   |3  |2        |
|X2012.09 |2516.67 |812.92  |1800   |2350    |3400   |3  |2        |
|X2012.10 |2573.33 |853.31  |1820   |2400    |3500   |3  |2        |
|X2012.11 |2540    |865.33  |1820   |2300    |3500   |3  |2        |
|X2012.12 |2551.67 |866.9   |1800   |2355    |3500   |3  |2        |
|X2013.01 |2448.33 |806.7   |1795   |2200    |3350   |3  |2        |
|X2013.02 |2383.33 |812.92  |1750   |2100    |3300   |3  |2        |
