=========================================================================================
Filename: ../output/data_clean.csv
Key: zipcode, date.
Dimension: 4597102 x 117.

|var                              |type      |    n_NA| ch.min| ch.max| ch.n_unique|     num.mean|       num.sd|        num.p0|      num.p50|     num.p100|
|:--------------------------------|:---------|-------:|------:|------:|-----------:|------------:|------------:|-------------:|------------:|------------:|
|zipcode                          |character |       0|      5|      5|       19085|           NA|           NA|            NA|           NA|           NA|
|placename                        |character | 2832389|      3|     31|        3182|           NA|           NA|            NA|           NA|           NA|
|city                             |character |       0|      3|     30|        9552|           NA|           NA|            NA|           NA|           NA|
|msa                              |character |       0|      0|     34|         818|           NA|           NA|            NA|           NA|           NA|
|countyname                       |character |   21634|     10|     28|        1580|           NA|           NA|            NA|           NA|           NA|
|stateabb                         |character |       0|      0|      2|          52|           NA|           NA|            NA|           NA|           NA|
|statename                        |character |  313752|      4|     20|          51|           NA|           NA|            NA|           NA|           NA|
|placetype                        |character | 2832389|      4|      4|           1|           NA|           NA|            NA|           NA|           NA|
|i.statename                      |character |       0|      0|     20|          52|           NA|           NA|            NA|           NA|           NA|
|date                             |Date      |       0|     NA|     NA|          NA|           NA|           NA|            NA|           NA|           NA|
|place                            |numeric   | 2090002|     NA|     NA|          NA| 4.201809e+04| 2.371775e+04|   100.0000000| 4.396200e+04| 8.915000e+04|
|county                           |numeric   |   21634|     NA|     NA|          NA| 8.278257e+01| 8.870028e+01|     1.0000000| 6.300000e+01| 8.400000e+02|
|state                            |numeric   |   21634|     NA|     NA|          NA| 2.910323e+01| 1.529253e+01|     1.0000000| 2.900000e+01| 5.600000e+01|
|min_local_mw                     |numeric   | 4525299|     NA|     NA|          NA| 7.921921e+00| 1.213262e+00|     5.1500000| 8.000000e+00| 1.524000e+01|
|mean_local_mw                    |numeric   | 4525299|     NA|     NA|          NA| 7.923415e+00| 1.214580e+00|     5.1500000| 8.000000e+00| 1.524000e+01|
|max_local_mw                     |numeric   | 4525299|     NA|     NA|          NA| 7.924661e+00| 1.214666e+00|     5.1500000| 8.000000e+00| 1.524000e+01|
|localabovestate                  |numeric   | 4525299|     NA|     NA|          NA| 1.785719e-01| 3.829961e-01|     0.0000000| 0.000000e+00| 1.000000e+00|
|min_county_mw                    |numeric   | 4515484|     NA|     NA|          NA| 7.579807e+00| 1.037598e+00|     5.1500000| 8.000000e+00| 1.091000e+01|
|mean_county_mw                   |numeric   | 4515484|     NA|     NA|          NA| 7.580182e+00| 1.037212e+00|     5.1500000| 8.000000e+00| 1.091000e+01|
|max_county_mw                    |numeric   | 4515484|     NA|     NA|          NA| 7.581391e+00| 1.036835e+00|     5.1500000| 8.000000e+00| 1.091000e+01|
|countyabovestate                 |numeric   | 4515484|     NA|     NA|          NA| 3.814110e-02| 1.915380e-01|     0.0000000| 0.000000e+00| 1.000000e+00|
|min_fed_mw                       |numeric   |  313752|     NA|     NA|          NA| 5.974723e+00| 1.032513e+00|     4.2500000| 5.150000e+00| 7.250000e+00|
|min_state_mw                     |numeric   |  313752|     NA|     NA|          NA| 6.333628e+00| 1.243151e+00|     4.2500000| 6.500000e+00| 1.150000e+01|
|mean_fed_mw                      |numeric   |  313752|     NA|     NA|          NA| 5.976879e+00| 1.032439e+00|     4.2500000| 5.150000e+00| 7.250000e+00|
|mean_state_mw                    |numeric   |  313752|     NA|     NA|          NA| 6.334639e+00| 1.242861e+00|     4.2500000| 6.500000e+00| 1.150000e+01|
|max_fed_mw                       |numeric   |  313752|     NA|     NA|          NA| 5.983079e+00| 1.034301e+00|     4.2500000| 5.150000e+00| 7.250000e+00|
