hh_income_decile,n_units_cat,n,sh_unit_type
1,1 unit,48246,0.2559585492227979
1,2 units,48246,0.05160621761658031
1,3 to 4 units,48246,0.12538860103626942
1,5+ units,48246,0.5670466321243524
2,1 unit,48246,0.2804145077720207
2,2 units,48246,0.08082901554404145
2,3 to 4 units,48246,0.11979274611398964
2,5+ units,48246,0.5189637305699482
3,1 unit,48246,0.30176165803108806
3,2 units,48246,0.08020725388601037
3,3 to 4 units,48246,0.12373056994818653
3,5+ units,48246,0.49430051813471504
4,1 unit,48246,0.3233160621761658
4,2 units,48246,0.0916062176165803
4,3 to 4 units,48246,0.1216580310880829
4,5+ units,48246,0.463419689119171
5,1 unit,48246,0.3573056994818653
5,2 units,48246,0.07854922279792746
5,3 to 4 units,48246,0.12310880829015544
5,5+ units,48246,0.4410362694300518
6,1 unit,48246,0.3589637305699482
6,2 units,48246,0.08891191709844559
6,3 to 4 units,48246,0.11585492227979274
6,5+ units,48246,0.43626943005181346
7,1 unit,48246,0.3963515754560531
7,2 units,48246,0.08022388059701492
7,3 to 4 units,48246,0.11380597014925373
7,5+ units,48246,0.4096185737976783
8,1 unit,48246,0.4400912106135987
8,2 units,48246,0.07048092868988391
8,3 to 4 units,48246,0.1013681592039801
8,5+ units,48246,0.3880597014925373
9,1 unit,48246,0.4689054726368159
9,2 units,48246,0.07338308457711443
9,3 to 4 units,48246,0.0779436152570481
9,5+ units,48246,0.37976782752902155
10,1 unit,48246,0.5483001658374793
10,2 units,48246,0.06053067993366501
10,3 to 4 units,48246,0.06985903814262023
10,5+ units,48246,0.3213101160862355
