                                    nunique     count          mean  \
zcta                                33971.0       NaN           NaN   
state                                  52.0       NaN           NaN   
Year                                    NaN  398748.0  2.016516e+03   
Total_Population                        NaN  398748.0  9.715878e+03   
Total_Housing_Units                     NaN  398748.0  4.116853e+03   
Median_Household_Income                 NaN  397750.0 -3.785190e+07   
Aggregate_Household_Income              NaN  391209.0  2.919178e+08   
Persons_Below_Poverty_Level             NaN  398713.0  1.378521e+03   
Unweighted_Sample_Count_Population      NaN  258494.0  7.994743e+02   
Unweighted_Sample_Count_Housing         NaN  256381.0  3.415132e+02   
hh_income_Less_10000                    NaN  398713.0  2.430583e+02   
hh_income_10000_14999                   NaN  398713.0  1.752405e+02   
hh_income_15000_19999                   NaN  398713.0  1.724520e+02   
hh_income_20000_24999                   NaN  398713.0  1.757486e+02   
hh_income_25000_29999                   NaN  398713.0  1.701669e+02   
hh_income_30000_34999                   NaN  398713.0  1.713765e+02   
hh_income_35000_39999                   NaN  398713.0  1.587007e+02   
hh_income_40000_44999                   NaN  398713.0  1.594713e+02   
hh_income_45000_49999                   NaN  398713.0  1.426241e+02   
hh_income_50000_59999                   NaN  398713.0  2.770012e+02   
hh_income_60000_74999                   NaN  398713.0  3.536431e+02   
hh_income_75000_99999                   NaN  398713.0  4.468658e+02   
hh_income_100000_124999                 NaN  398713.0  3.121500e+02   
hh_income_125000_149999                 NaN  398713.0  2.002512e+02   
hh_income_150000_199999                 NaN  398713.0  2.180861e+02   
hh_income_200000_or_more                NaN  398713.0  2.409749e+02   
Workers_16_and_over                     NaN  398713.0  4.428696e+03   
Workers_Earning_1_to_9999               NaN  398713.0  2.928954e+02   
Workers_Earning_10000_to_14999          NaN  398713.0  2.795276e+02   
Workers_Earning_15000_to_24999          NaN  398713.0  3.856273e+03   
Workers_Earning_25000_to_34999          NaN  398713.0  3.363608e+03   
total_occ_housing_units                 NaN  398748.0  9.472997e+03   
owner_occ_housing_units                 NaN  398748.0  6.288340e+03   
renter_occ_housing_units                NaN  398748.0  3.184658e+03   
rent_p25                                NaN  397674.0 -1.271540e+08   
rent_median                             NaN  398121.0 -1.209057e+08   
rent_p75                                NaN  398173.0 -1.199438e+08   
rent_aggregate                          NaN  361023.0 -5.822049e+07   
rent_share_hh_income_Total              NaN  398713.0  1.283011e+03   
rent_share_hh_income_10pct              NaN  398713.0  4.588391e+01   
rent_share_hh_income_10_15pct           NaN  398713.0  1.018968e+02   
rent_share_hh_income_15_20pct           NaN  398713.0  1.477812e+02   
rent_share_hh_income_20_25pct           NaN  398713.0  1.502286e+02   
rent_share_hh_income_20_30pct           NaN  398713.0  1.368757e+02   
rent_share_hh_income_30_35pct           NaN  398713.0  1.079235e+02   
rent_share_hh_income_35_40pct           NaN  398713.0  7.948234e+01   
rent_share_hh_income_40_45pct           NaN  398713.0  1.091115e+02   
rent_share_hh_income_45_50pct           NaN  398713.0  3.053595e+02   
rent_share_hh_income_50Pluspct          NaN  398713.0  9.846782e+01   
Mean_Household_Income                   NaN  384613.0  2.408930e+05   
Low_Income_Workers                      NaN  398748.0  4.428307e+03   
