"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Total population (2010)","placefp to county allocation factor"
"01","00100","01017","AL","Chambers AL","Abanda CDP, AL",192,1 
"01","00124","01067","AL","Henry AL","Abbeville city, AL",2688,1 
"01","00460","01073","AL","Jefferson AL","Adamsville city, AL",4522,1 
"01","00484","01133","AL","Winston AL","Addison town, AL",758,1 
"01","00676","01065","AL","Hale AL","Akron town, AL",356,1 
"01","00820","01117","AL","Shelby AL","Alabaster city, AL",30352,1 
"01","00988","01095","AL","Marshall AL","Albertville city, AL",21160,1 
"01","01132","01123","AL","Tallapoosa AL","Alexander City city, AL",14875,1 
"01","01180","01015","AL","Calhoun AL","Alexandria CDP, AL",3917,1 
"01","01228","01107","AL","Pickens AL","Aliceville city, AL",2486,1 
"01","01396","01009","AL","Blount AL","Allgood town, AL",622,1 
"01","01660","01009","AL","Blount AL","Altoona town, AL",30,0.032 
"01","01660","01055","AL","Etowah AL","Altoona town, AL",903,0.968 
"01","01708","01039","AL","Covington AL","Andalusia city, AL",9015,1 
"01","01756","01077","AL","Lauderdale AL","Anderson town, AL",282,1 
"01","01852","01015","AL","Calhoun AL","Anniston city, AL",23106,1 
"01","02116","01043","AL","Cullman AL","Arab city, AL",27,0.003 
"01","02116","01095","AL","Marshall AL","Arab city, AL",8023,0.997 
"01","02260","01083","AL","Limestone AL","Ardmore town, AL",1194,1 
"01","02320","01073","AL","Jefferson AL","Argo town, AL",61,0.015 
"01","02320","01115","AL","St. Clair AL","Argo town, AL",4010,0.985 
"01","02428","01045","AL","Dale AL","Ariton town, AL",764,1 
"01","02500","01133","AL","Winston AL","Arley town, AL",357,1 
"01","02836","01069","AL","Houston AL","Ashford town, AL",2148,1 
"01","02860","01027","AL","Clay AL","Ashland town, AL",2037,1 
"01","02908","01115","AL","St. Clair AL","Ashville city, AL",2212,1 
"01","02956","01083","AL","Limestone AL","Athens city, AL",21897,1 
"01","03004","01053","AL","Escambia AL","Atmore city, AL",10194,1 
