+------------+------+-------+------------+-----------+
| countyfips | year | month | unemp_rate | footnotes |
+------------+------+-------+------------+-----------+
|   01001    | 2019 |   12  |    2.4     |           |
|   01001    | 2019 |   11  |    2.2     |           |
|   01001    | 2019 |   10  |    2.3     |           |
|   01001    | 2019 |   09  |    2.4     |           |
|   01001    | 2019 |   08  |    2.7     |           |
|   01001    | 2019 |   07  |    2.8     |           |
|   01001    | 2019 |   06  |    2.9     |           |
|   01001    | 2019 |   05  |    2.2     |           |
|   01001    | 2019 |   04  |    2.3     |           |
|   01001    | 2019 |   03  |    3.2     |           |
|   01001    | 2019 |   02  |    3.4     |           |
|   01001    | 2019 |   01  |    3.8     |           |
|   01001    | 2018 |   12  |    3.3     |           |
|   01001    | 2018 |   11  |    3.2     |           |
|   01001    | 2018 |   10  |    3.4     |           |
|   01001    | 2018 |   09  |    3.4     |           |
|   01001    | 2018 |   08  |    3.8     |           |
|   01001    | 2018 |   07  |    3.7     |           |
|   01001    | 2018 |   06  |    4.2     |           |
|   01001    | 2018 |   05  |    3.2     |           |
|   01001    | 2018 |   04  |    3.2     |           |
|   01001    | 2018 |   03  |    3.7     |           |
|   01001    | 2018 |   02  |    4.0     |           |
|   01001    | 2018 |   01  |    3.9     |           |
|   01001    | 2017 |   12  |    3.3     |           |
|   01001    | 2017 |   11  |    3.2     |           |
|   01001    | 2017 |   10  |    3.4     |           |
|   01001    | 2017 |   09  |    3.3     |           |
|   01001    | 2017 |   08  |    3.9     |           |
|   01001    | 2017 |   07  |    4.1     |           |
|   01001    | 2017 |   06  |    4.2     |           |
|   01001    | 2017 |   05  |    3.4     |           |
|   01001    | 2017 |   04  |    3.6     |           |
|   01001    | 2017 |   03  |    4.3     |           |
|   01001    | 2017 |   02  |    4.9     |           |
|   01001    | 2017 |   01  |    5.1     |           |
|   01001    | 2016 |   12  |    4.7     |           |
|   01001    | 2016 |   11  |    4.7     |           |
|   01001    | 2016 |   10  |    5.3     |           |
|   01001    | 2016 |   09  |    5.1     |           |
|   01001    | 2016 |   08  |    5.3     |           |
|   01001    | 2016 |   07  |    5.3     |           |
|   01001    | 2016 |   06  |    5.5     |           |
|   01001    | 2016 |   05  |    4.6     |           |
|   01001    | 2016 |   04  |    4.6     |           |
|   01001    | 2016 |   03  |    5.2     |           |
|   01001    | 2016 |   02  |    5.4     |           |
|   01001    | 2016 |   01  |    5.4     |           |
|   01001    | 2015 |   12  |    4.9     |           |
|   01001    | 2015 |   11  |    4.9     |           |
|   01001    | 2015 |   10  |    5.0     |           |
|   01001    | 2015 |   09  |    5.0     |           |
|   01001    | 2015 |   08  |    5.6     |           |
|   01001    | 2015 |   07  |    5.6     |           |
|   01001    | 2015 |   06  |    5.6     |           |
|   01001    | 2015 |   05  |    5.1     |           |
|   01001    | 2015 |   04  |    4.7     |           |
|   01001    | 2015 |   03  |    5.0     |           |
|   01001    | 2015 |   02  |    5.4     |           |
|   01001    | 2015 |   01  |    5.5     |           |
